X,Result(X)
-5,nan
-4.9,nan
-4.8,nan
-4.7,nan
-4.6,nan
-4.5,nan
-4.4,nan
-4.3,nan
-4.2,nan
-4.1,nan
-4,nan
-3.9,nan
-3.8,nan
-3.7,nan
-3.6,nan
-3.5,nan
-3.4,nan
-3.3,nan
-3.2,nan
-3.1,nan
-3,nan
-2.9,nan
-2.8,nan
-2.7,nan
-2.6,nan
-2.5,nan
-2.4,nan
-2.3,nan
-2.2,nan
-2.1,nan
-2,nan
-1.9,nan
-1.8,nan
-1.7,nan
-1.6,nan
-1.5,nan
-1.4,nan
-1.3,nan
-1.2,nan
-1.1,nan
-1,nan
-0.900000000000001,nan
-0.800000000000001,nan
-0.700000000000001,nan
-0.600000000000001,nan
-0.500000000000001,nan
-0.400000000000001,nan
-0.300000000000001,nan
-0.200000000000001,nan
-0.100000000000001,nan
-1.02695629777827e-15,nan
0.099999999999999,-2.30258509299406
0.199999999999999,-1.60943791243411
0.299999999999999,-1.20397280432594
0.399999999999999,-0.916290731874157
0.499999999999999,-0.693147180559948
0.599999999999999,-0.510825623765992
0.699999999999999,-0.356674943938734
0.799999999999999,-0.223143551314211
0.899999999999999,-0.105360515657828
0.999999999999999,-1.33226762955019e-15
1.1,0.0953101798043239
1.2,0.182321556793954
1.3,0.26236426446749
1.4,0.336472236621212
1.5,0.405465108108164
1.6,0.470003629245735
1.7,0.53062825106217
1.8,0.587786664902119
1.9,0.641853886172395
2,0.693147180559945
2.1,0.741937344729377
2.2,0.78845736036427
2.3,0.832909122935104
2.4,0.8754687373539
2.5,0.916290731874155
2.6,0.955511445027436
2.7,0.993251773010283
2.8,1.02961941718116
2.9,1.06471073699243
3,1.09861228866811
3.1,1.1314021114911
3.2,1.16315080980568
3.3,1.19392246847243
3.4,1.22377543162212
3.5,1.25276296849537
3.6,1.28093384546206
3.7,1.30833281965018
3.8,1.33500106673234
3.9,1.3609765531356
4,1.38629436111989
4.1,1.41098697371026
4.2,1.43508452528932
4.3,1.45861502269952
4.4,1.48160454092422
4.5,1.50407739677627
4.6,1.52605630349505
4.7,1.54756250871601
4.8,1.56861591791384
4.9,1.58923520511658
5,1.6094379124341
